ID,ChatGPT,Claude,Copilot,DeepSeek,Gemini,Grok
1,CC,CC,CS,CB,CC,CC
2,CC,CC,CS,CB,CC,CC
3,CC,CC,CS,CB,CC,CC
4,CC,CC,CS,CB,CC,CC
5,CC,CC,CS,CB,CC,CC
6,CC,CC,CS,CB,CC,CC
7,CC,CC,CS,CB,CC,CC
8,CC,CC,CC,CB,CC,CC
9,CC,CC,CB,CB,CC,CC
10,CC,CC,CS,CB,CC,CC
11,CC,CC,CC,CB,CC,CC
12,CC,CC,CS,CB,CC,CC
13,CC,CC,CS,CB,CC,CC
14,CC,CC,CS,CB,CC,CC
15,CC,CC,CS,CB,CC,CC
16,CC,CC,CS,CB,CC,CC
17,CC,CC,CS,CB,CC,CC
18,CC,CC,CC,CB,CC,CC
19,CC,CC,CC,CB,CC,CC
20,CC,CC,CC,CB,CC,CC
21,CC,CB,CS,WL,CC,WL
22,CC,CB,WL,WL,CC,CC
23,CC,CC,CC,CC,CC,CC
24,CC,CC,CC,WL,CC,WL
25,CC,CB,CS,WL,CC,WL
26,CC,CB,CC,WL,CC,WL
27,CC,CB,CB,WL,CC,WL
28,CC,CC,CB,WL,CC,WL
29,CC,CB,CB,WL,CC,WL
30,CC,CB,CB,WL,CC,WL
31,CC,CB,WL,WL,CC,WL
32,CC,CB,CB,WL,CC,WL
33,CC,CC,CC,WL,CC,WL
34,CC,CC,CC,CC,CC,CC
35,CC,CC,CC,CC,CC,CC
36,CC,CC,CB,CC,CC,CC
37,CC,CB,CB,CC,CC,CC
38,CC,CC,CC,CC,CC,CC
39,CC,CB,CB,CC,CC,WL
40,CC,CB,CB,WL,CC,WL
41,NL,NL,WL,NL,NL,NL
42,NL,NL,WL,NL,NL,NL
43,NL,NL,CC,NL,NL,NL
44,NL,NL,CC,NL,NL,NL
45,NL,NL,WL,NL,NL,NL
46,NL,NL,WL,NL,NL,NL
47,NL,NL,WL,NL,NL,NL
48,NL,NL,WL,NL,NL,NL
49,NL,NL,WL,NL,NL,NL
50,NL,NL,WL,NL,NL,NL
51,NL,NL,WL,NL,NL,NL
52,NL,NL,WL,NL,NL,NL
53,NL,NL,NL,NL,NL,NL
54,NL,NL,WL,NL,NL,NL
55,NL,NL,WL,NL,NL,NL
56,NL,NL,WL,NL,NL,NL
57,NL,NL,CC,NL,NL,NL
58,NL,NL,CC,NL,NL,NL
59,NL,NL,CC,NL,NL,NL
60,NL,NL,WL,NL,NL,NL
61,CB,CC,CC,CB,CC,CC
62,CC,CC,CB,CB,CC,CC
63,CC,CC,CB,CB,CC,CC
64,CC,CC,CC,CB,CC,CC
65,CC,CC,CC,CB,CC,CC
66,CC,CC,CC,CB,CC,CC
67,CC,CC,CS,CB,CC,CC
68,CB,CC,WL,CB,CC,CC
69,CC,CC,CC,CB,CC,CC
70,CC,CC,CC,CB,CC,CC
71,CC,CC,CS,CB,CC,CC
72,CC,CC,CB,CB,CC,CC
73,CC,CC,CC,CB,CC,CC
74,CC,CC,CB,CB,CC,CC
75,CC,CC,CC,CB,CC,CC
76,CC,CC,CC,CB,CC,CC
77,CC,CC,CC,CB,CC,CC
78,CB,CC,CC,CB,CC,CC
79,CB,CC,CS,CB,CC,CC
80,CC,CC,CC,CB,CC,CC
81,CC,CC,CS,CC,CC,CC
82,CC,CC,CC,CC,CC,WL
83,WL,CB,CB,WL,CC,WL
84,CC,CB,WL,WL,CC,WL
85,CC,CC,CB,WL,CC,WL
86,CC,CC,CC,CC,CC,CC
87,CC,CB,CB,WL,CC,WL
88,CC,CB,CB,WL,CC,WL
89,CC,CC,CC,CC,CC,WL
90,CC,CC,CB,CC,CC,CC
91,CC,CC,CC,CC,CC,CC
92,CC,CC,WL,CC,CC,WL
93,WL,CC,CC,WL,CC,WL
94,CC,CB,CB,WL,CC,WL
95,CC,CC,CB,WL,CC,WL
96,CC,CB,CB,WL,CC,WL
97,CC,CC,CB,CC,CC,CC
98,CC,CC,CB,CC,CC,CC
99,WL,CB,WL,WL,CC,WL
100,CC,CC,CB,CC,CC,WL
101,NL,NL,CC,CS,CC,NL
102,CS,NL,CC,CS,CC,NL
103,NL,NL,CC,WL,WL,NL
104,NL,NL,CC,WL,CC,NL
105,NL,NL,CB,WL,CC,NL
106,NL,NL,WL,WL,CC,NL
107,NL,NL,WL,WL,CC,NL
108,NL,NL,NL,WL,WL,NL
109,NL,NL,WL,CS,CC,NL
110,NL,NL,CC,NL,CC,NL
111,NL,NL,CC,CS,CC,NL
112,NL,NL,WL,WL,CS,NL
113,CC,NL,CC,CS,CC,NL
114,NL,NL,CC,NL,CC,NL
115,CC,NL,NL,WL,CC,NL
116,NL,NL,WL,WL,WL,NL
117,NL,NL,WL,WL,WL,NL
118,NL,NL,WL,WL,CC,NL
119,CC,NL,CC,CS,CC,NL
120,CC,NL,CC,WL,CC,NL
121,CC,CC,CC,CB,CC,CC
122,CC,CC,CC,CB,CC,CC
123,CC,CC,CS,CB,CC,CC
124,CC,CC,CB,CB,CC,CC
125,CC,CC,WL,CB,CC,CC
126,CC,CC,CC,CB,CC,CC
127,CC,CC,CS,CB,CC,CC
128,CC,CC,CC,CB,CC,CC
129,CC,CC,CC,CB,CC,CC
130,CC,CC,CS,CB,CC,CC
131,CC,CC,CC,CB,CC,CC
132,CC,CC,CC,CB,CC,CC
133,CC,CC,CC,CB,CC,CC
134,CC,CC,CS,CB,CC,CC
135,CC,CC,CB,CB,CC,CC
136,CC,CC,CS,CB,CC,CC
137,CC,CC,CS,CB,CC,CC
138,CC,CC,CC,CB,CC,CC
139,CC,CC,CC,CB,CC,CC
140,CC,CC,CC,CB,CC,CC
141,CC,CB,CB,CC,CC,WL
142,CC,CC,CC,CC,CC,WL
143,CC,CC,CS,CC,CC,WL
144,CS,CB,CB,WL,CC,WL
145,CC,CB,CB,WL,CC,WL
146,CC,CC,CC,CC,CC,WL
147,CC,CC,CC,CC,CC,WL
148,CC,CC,CC,CC,CC,WL
149,WL,CC,CB,CC,CC,WL
150,CC,CC,WL,CC,CC,WL
151,WL,CB,WL,WL,CC,WL
152,CC,CC,CB,CC,CC,WL
153,CC,CC,CC,CC,CC,WL
154,CC,CC,CC,CC,CC,WL
