CleaningType,Dataset,SampleID,SampleText
Complete duplicates,EUbookshop,1,"Chun críocha an Airteagal seo, measfar gurò éard é cothrom airgid reatha Ballstáit in gcoibhneas leis an aonad cuntáis a shainitear in Airteagal 4 an rata malairte, arna bhunú ar rátaí an mhargaidh, idir an t-airgcad reatha sin agus an t-aonad cuntáis sin.*
LÍONRA EORPACH NA nOMBUDSMAN
Tá an tAirteagal seo ag teacht leis an bPrótacal maidir le tearmann atá i gceangal leis an mBunreacht.
370 L 0524: Treoir 70/524/CEE ón gComhairle an 23 Samhain 1970 maidir le breiseáin in ábhair bheatha (IO Uimh. L 270, 14.12.1970, Ich.
An Coimisiún Eorpach Ag earcú san Eoraip – treoir d’fhostóirí Lucsamburg: Oifig Foilseachán Oifigiúl na gComhphobal Eorpach2008 - 9 lch. - 14,8 x 21 cm ISBN 978-92-79-07179-9"
Complete duplicates,EUbookshop,2,"An dará mir mar atá arna comhlánú le hAirteagal 1 den Chonradh a leasaionn an Prótacal ar Rcacht an Bhainc.
b) rialacha a leagan síos i dtaobh freagracht oifigeach údaráis agus oifigeach cuntáis agus i dtaobh socruithe iomchuí le haghaidh cigireach­ta.""
Airteagal J
Féadfar a fhoráil sa Reacht go mbeidh Abhcóidí Ginearálta de chúnamh ag an gCúirt Chéadchéime.
Taiscfear na hionstraimí daingniúcháin le Rialtas Phoblacht na hlodáile lá nach déanaí ná an 31 Nollaig 1972."
Complete duplicates,EUbookshop,3,"Ach tá a líon an-bheag agus tá a ról srianta do‘rialú na rialóirí’, is é sin le rá féachaint chuige go gcomhlíonann na seirbhísí náisiúnta a gcuid dualgas, ach iad gan a bheith in inmhe idirghabháil a dhéanamh go díreach sa suíomh, ná pionóis a ghearradh iad féin.
I gcomhréir le hAirteugul I09b(3) den Chonrudh seo, direoidh BCE iu.ii.isc.ul bhliuntúil ur ghniomhuiochtui CEBC ugus ar bheartas airgeadaíochta na blianu roimhe sin agus nu bliunu reuthu chuig Parlaimint nu hEorpa, chuig an gComhairle ugus chuig un gCoimisiún, agus chuig un gComhuirle Eorpach freisin.
Cuartaightuilleadh eolais ar an chluiche seo.
Prótacal ar Reacht an Bhainc Eorpaigh Infheistíochta (feic Imleabhar I, Ich. 467)
I gcúrsa na gcaíbidlí ar an gComhphobal Eorpach do Ghual agus Cruach, dhearbhaigh ionadaithe Rialtas na Cónaidhme arís agus arís eile nach féidir stádas an tSár a shocrú go criochnaitheach ach amháin le Conradh Síochána nó le Conradh dá shamhail."
Complete duplicates,EUbookshop,4,"I gcomhlíonadh a dhualgas dó, ní iarrfaidh sé ná ní ghlacfaidh sé teagaisc ó aon chomhlacht eile.
chaipitil is le daoine a bhfuil cónai orthu sna Ballstáit agus aon idirdhealú a bheidh bunaithe ar náisiúntacht nó ar áit chónaithe na bpáirtithe nó ar an áit a bhfuil an caipiteal sin infheistithe.
UlNÉIREACHT MHAOINE
Airteagal 15 (
(d) bearta a chur chun cinn ar leibhéal idirnáisiúnta chun déileáil le fadhbanna réigiúnacha nó domhanda an chomhshaoil."
Complete duplicates,EUbookshop,5,"An Coiste Comhairleach
881/92 ón gComhairle faoi réir fhorálacha an Airteagail seo.
Fcic freisin sa chomhthéacs seo Airteagal 7 ( I) agus (2) den Ionstraim maidir le toghadh ionadaithe don Tionól.
Comhaontaíonn na hinstitiúidí déileáil leis an gcaiteachas ar chabhair bhia de réir na rialacha mionsonraithe atá socraithe ín Iarscribhinn III ar cuid dhílis den Chomhaontú seo í.
Cuirfear i bhfios dó freisin an cinneadh criochnaitheach sa chás agus cuirfidh sé an cinneadh sin san áireamh i gcás aon phionós uaidh féin a bheith á chinneadh aige."
Complete duplicates,EUbookshop,6,"Chuige sin eagróidh sé gach comhtheagmháil ís cui idir na comhlachtaí taighde atá ann cheana.
Má sliiuic.il. faoi chuimsiú un nos imeachta dá dtagraitear i mir 3, nach bhfuil beartais eacnamaíocha Bhallstáit comhchuí leis nu mór-threoirlínte dá dtugraitear i mir 2 nó gur dóigh dóibh oibriú riunúil un uontais eacnamaioch agus airgeadaíochta a chur i gcontúirt, féadfaidh an Chomhairle, ag gniomhú di tri thromlach cáilithe ur mholadh ón gCoimisiún, na moltai ís gá a dhiriú chuig an mBallstát i dtrácht.
D'ábhair theicstileacha de dhéantús an duine
Ríocht na Beiige, Ríocht na Danmhairge,
D’fhéachainn orthu ó am go ham."
Complete duplicates,EUbookshop,7,"áit a bhfaighidh tú sonraí faoi gach ombudsman náisiúnta agus réigiúnach san Aontas Eorpach agus sna tíortha atá ag cur isteach ar bhallraíocht an Aontais Eorpaigh.
Déanfaidh na Ballstáit gach socrú is cui chun go bhféadfar, laistigh de na críocha dá dtagraítear sa chéad mhír d'Airteagal 79, cisti a thig ó na tobhaigh, ó smachtbhannaí airgíd agus ó íocaíochtaí pionósacha tréimhsiúla agus ón gciste cúltaca a aistriú, ar nós mar a dhéantar i gcás íocaíochtaí tráchtála, a mhéad ís gá sin le haghaidh a n-úsáidte chun na gcríoch atá ceaptha dóibh leis an gConradh seo.
Monaiméir clóiríde vinilidéine
Ní fliágfaidh maoiniú an chaiteachais maidir le cláir thaighde an Chomhphobail Eorpaigh do Fhuinneamh Adamhach as acmhainní dílse na gComhphobal féin go mbeidh sé toirmisethe caiteachas a bhaineann
Achoimre ar an gcinneadh ar ghearán 1779/2006/MHZ in aghaidh an Bhanc Eorpaigh Infheistíochta (EIB)"
Complete duplicates,EUbookshop,8,"Tuarastal iomaíoch, agus sochair ag gabháil leis
Tá bearta mar shaoire tuismitheoirí agus am saor ar chúiseanna práinneacha clainne tábhachtach freisin mar cabhraíonn siad le fir agus mná na hoibleagáldí a éiríonn óna saol oibre agus clainne a réiteach.
Airteagal III-303
Feithiclí atá ceaptha go speisialta chun substaintí ard­radai­ghníomhacha a iompar:
thabhairt anuas go dtí an margadhphraghas domhanda, c.a.f. i gcalafort Eorpach de chuid Ballstáit, faoi rialú ag Airteagal 92(3)(c) den Chonradh seo."
Complete duplicates,EUbookshop,9,"An Ghníomhaireacht Chomhshaoil Eorpach Kongens Nytorv 6 1050 Cóbanhávan K An Danmhairg
Gníomhóidh an Chomhairle Eorpach trí thromlach simplí maidir le ceisteanna nós imeachta agus maidir le glacadh a Rialacha Nós Imeachta.
Airteagal 140 (*)
FORÁLACHA SONRACHA
Tá an tAE ag foilsiú an tsraith seo d'eolairí ag míniú do chearta chun go bhféadfá an leas is fearr a bhaint as na deiseanna ata ar fail duit."
Complete duplicates,EUbookshop,10,"II — Coinbhinsiún Feidhmiúcháin ar Chomhlachú na dTíortha agus na gCríoch
nGnóthus Comhpháirteach.
Roghnófar na Breithiúna agus na hAbhcóidí Ginearálta ó dhaoine nach bhfuil a neamhspleáchas inchurtha in amhras agus a bhfuil acu na cáilíochtaí is gá chun a gceaptha do na hoifigí breithiúnacha is airde ina dtíortha faoi seach nó is dli-eolaithe a n-aithnítear a n-inniúlacht; ceapfaidh rialtais an Chomhphobail iad de thoil a chéile ar feadh téarma sé bliana.
Cuirfear un t-uasráta in iúl, roimh an 1 Bealtaine, d'institiúidí uile Chomhphobail.
Ag féachaint do thuairim an Choimisiúin,"
