Rule,RuleCharNumber,RuleContentShortMultiLan,RuleWordNumber,RuleSentenceNumber,RuleLineEndWithTerminal,RuleStopWord,RuleContentShort,RuleAlphaWords,RuleInvisibleChar,RuleAbnormalChar,RuleMeanWordLength,RuleEnterAndSpace,RuleEnterRatioMore,RuleCapitalWords,RuleLineEndWithEllipsis,RuleContentNull,RuleSpecialCharacter,RuleLineStartWithBulletpoint,RuleDocRepeat,RuleSymbolWordRatio,RuleAbnormalHtml,RuleHtmlEntity,RuleUniqueWords,RuleCurlyBracket,RuleLoremIpsum,RuleColonEnd,RuleEnterMore,RuleHtmlTag,RuleLatexSpecialChar,RuleLineJavascriptCount,RuleSpaceMore,RuleOnlyUrl
CCMatrix,78.0,77.0,77.0,1.0,0.0,10.0,100.0,80.0,100.0,100.0,96.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,99.0,88.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
EUBookshops,55.0,45.0,47.0,4.0,0.0,65.0,100.0,62.0,100.0,100.0,99.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,77.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
EUconst,44.0,43.0,43.0,1.0,0.0,56.0,97.0,55.0,82.0,82.0,99.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,59.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
HPLT,51.0,52.0,52.0,5.0,0.0,73.0,100.0,62.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,69.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NLLB,15.0,19.0,18.0,0.0,0.0,58.0,100.0,32.0,100.0,100.0,98.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,35.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
OpenSubtitles,5.0,4.0,4.0,3.0,0.0,27.0,97.0,16.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,17.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Paracrawl,49.0,47.0,46.0,2.0,0.0,62.0,99.0,66.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,73.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
QED,18.89,22.22,22.22,7.78,0.0,52.22,91.11,37.78,98.89,98.89,100.0,100.0,100.0,98.89,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,42.22,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Tatoeba,0.0,0.0,0.0,0.0,0.0,17.0,98.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
XLEnt,4.0,0.0,0.0,0.0,0.0,3.0,89.0,15.0,100.0,100.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
