rule_applied,score,num_good,num_bad,total,description
RuleLineEndWithEllipsis,97.17,9717,283,10000,Over 30% of sentences in 3% of the samples end with ellipsis (...).
RuleLineEndWithTerminal,85.51,8551,1449,10000,Over 60% of sentences in 86% of the samples end with terminal punctuation (.!?;).
RuleSentenceNumber,1.51,151,9849,10000,"2% of the samples have between 3 and 7,500 sentences."
RuleWordNumber,11.28,1128,8872,10000,"11% of the samples have between 20 and 100,000 words."
RuleAbnormalChar,99.45,9945,55,10000,
RuleAbnormalHtml,99.95,9995,5,10000,
RuleAlphaWords,85.84,8584,1416,10000,Over 60% of the words in 86% of the samples have alphabetic characters.
RuleCharNumber,10.27,1027,8973,10000,10% of the samples have more than 100 characters.
RuleColonEnd,100.0,10000,0,10000,0% of the samples finish in a colon (:).
RuleContentNull,100.0,10000,0,10000,0% of the samples are empty.
RuleContentShort,87.94,8794,1206,10000,
RuleContentShortMultiLan,10.83,1083,8917,10000,
RuleEnterAndSpace,100.0,10000,0,10000,
RuleEnterMore,100.0,10000,0,10000,
RuleEnterRatioMore,100.0,10000,0,10000,
RuleHtmlEntity,99.95,9995,5,10000,0% of the samples have HTML content.
RuleHtmlTag,100.0,10000,0,10000,
RuleInvisibleChar,99.48,9948,52,10000,
RuleLatexSpecialChar,100.0,10000,0,10000,
RuleLineJavascriptCount,100.0,10000,0,10000,"0% of the samples contain the word ""javascript""."
RuleLoremIpsum,100.0,10000,0,10000,0% of the samples contain Lorem Ipsum text.
RuleMeanWordLength,97.48,9748,252,10000,97% of the samples have a mean word length between 3 and 10 characters.
RuleSpaceMore,100.0,10000,0,10000,
RuleSpecialCharacter,99.97,9997,3,10000,0% of the samples have special characters.
RuleStopWord,37.31,3731,6269,10000,Over 6% of words in 63% of the samples are stop words.
RuleSymbolWordRatio,99.95,9995,5,10000,"In 0% of the samples, the ratio between symbols and words is > 0.4."
RuleOnlyUrl,100.0,10000,0,10000,
RuleDocRepeat,99.85,9985,15,10000,0% of the samples have repeating lines.
RuleCapitalWords,97.92,9792,208,10000,Over 20% of words in 2% of the samples are capitalised.
RuleCurlyBracket,99.97,9997,3,10000,There is a ratio > 0.1 between curly brackets and other characters in 0% of the samples.
RuleLineStartWithBulletpoint,100.0,10000,0,10000,0% of the samples start with a bullet point.
RuleUniqueWords,99.91,9991,9,10000,0% of the samples have a ratio > 0.1 of unique words.
