rule_applied,score,num_good,num_bad,total,description
RuleLineEndWithEllipsis,97.48,9748,252,10000,Over 30% of sentences in 3% of the samples end with ellipsis (...).
RuleLineEndWithTerminal,72.15,7215,2785,10000,Over 60% of sentences in 72% of the samples end with terminal punctuation (.!?;).
RuleSentenceNumber,95.46,9546,454,10000,"95% of the samples have between 3 and 7,500 sentences."
RuleWordNumber,100.0,10000,0,10000,"100% of the samples have between 20 and 100,000 words."
RuleAbnormalChar,99.98,9998,2,10000,
RuleAbnormalHtml,100.0,10000,0,10000,
RuleAlphaWords,99.99,9999,1,10000,Over 60% of the words in 100% of the samples have alphabetic characters.
RuleCharNumber,100.0,10000,0,10000,100% of the samples have more than 100 characters.
RuleColonEnd,100.0,10000,0,10000,0% of the samples finish in a colon (:).
RuleContentNull,100.0,10000,0,10000,0% of the samples are empty.
RuleContentShort,100.0,10000,0,10000,
RuleContentShortMultiLan,100.0,10000,0,10000,
RuleEnterAndSpace,100.0,10000,0,10000,
RuleEnterMore,100.0,10000,0,10000,
RuleEnterRatioMore,100.0,10000,0,10000,
RuleHtmlEntity,100.0,10000,0,10000,0% of the samples have HTML content.
RuleHtmlTag,100.0,10000,0,10000,
RuleInvisibleChar,99.99,9999,1,10000,
RuleLatexSpecialChar,100.0,10000,0,10000,
RuleLineJavascriptCount,100.0,10000,0,10000,"0% of the samples contain the word ""javascript""."
RuleLoremIpsum,99.97,9997,3,10000,0% of the samples contain Lorem Ipsum text.
RuleMeanWordLength,100.0,10000,0,10000,100% of the samples have a mean word length between 3 and 10 characters.
RuleSpaceMore,100.0,10000,0,10000,
RuleSpecialCharacter,99.99,9999,1,10000,0% of the samples have special characters.
RuleStopWord,99.13,9913,87,10000,Over 6% of words in 1% of the samples are stop words.
RuleSymbolWordRatio,100.0,10000,0,10000,"In 0% of the samples, the ratio between symbols and words is > 0.4."
RuleOnlyUrl,100.0,10000,0,10000,
RuleDocRepeat,100.0,10000,0,10000,0% of the samples have repeating lines.
RuleCapitalWords,99.99,9999,1,10000,Over 20% of words in 0% of the samples are capitalised.
RuleCurlyBracket,100.0,10000,0,10000,There is a ratio > 0.1 between curly brackets and other characters in 0% of the samples.
RuleLineStartWithBulletpoint,100.0,10000,0,10000,0% of the samples start with a bullet point.
RuleUniqueWords,100.0,10000,0,10000,0% of the samples have a ratio > 0.1 of unique words.
