rule_applied,score,num_good,num_bad,total,description
RuleLineEndWithEllipsis,98.77,9877,123,10000,Over 30% of sentences in 1% of the samples end with ellipsis (...).
RuleLineEndWithTerminal,60.37,6037,3963,10000,Over 60% of sentences in 60% of the samples end with terminal punctuation (.!?;).
RuleSentenceNumber,4.43,443,9557,10000,"4% of the samples have between 3 and 7,500 sentences."
RuleWordNumber,39.27,3927,6073,10000,"39% of the samples have between 20 and 100,000 words."
RuleAbnormalChar,100.0,10000,0,10000,
RuleAbnormalHtml,100.0,10000,0,10000,
RuleAlphaWords,87.83,8783,1217,10000,Over 60% of the words in 88% of the samples have alphabetic characters.
RuleCharNumber,41.27,4127,5873,10000,41% of the samples have more than 100 characters.
RuleColonEnd,100.0,10000,0,10000,0% of the samples finish in a colon (:).
RuleContentNull,100.0,10000,0,10000,0% of the samples are empty.
RuleContentShort,84.43,8443,1557,10000,
RuleContentShortMultiLan,39.09,3909,6091,10000,
RuleEnterAndSpace,99.89,9989,11,10000,
RuleEnterMore,100.0,10000,0,10000,
RuleEnterRatioMore,99.89,9989,11,10000,
RuleHtmlEntity,100.0,10000,0,10000,0% of the samples have HTML content.
RuleHtmlTag,100.0,10000,0,10000,
RuleInvisibleChar,100.0,10000,0,10000,
RuleLatexSpecialChar,100.0,10000,0,10000,
RuleLineJavascriptCount,100.0,10000,0,10000,"0% of the samples contain the word ""javascript""."
RuleLoremIpsum,100.0,10000,0,10000,0% of the samples contain Lorem Ipsum text.
RuleMeanWordLength,96.94,9694,306,10000,97% of the samples have a mean word length between 3 and 10 characters.
RuleSpaceMore,100.0,10000,0,10000,
RuleSpecialCharacter,100.0,10000,0,10000,0% of the samples have special characters.
RuleStopWord,57.16,5716,4284,10000,Over 6% of words in 43% of the samples are stop words.
RuleSymbolWordRatio,99.89,9989,11,10000,"In 0% of the samples, the ratio between symbols and words is > 0.4."
RuleOnlyUrl,100.0,10000,0,10000,
RuleDocRepeat,100.0,10000,0,10000,0% of the samples have repeating lines.
RuleCapitalWords,92.99,9299,701,10000,Over 20% of words in 7% of the samples are capitalised.
RuleCurlyBracket,99.99,9999,1,10000,There is a ratio > 0.1 between curly brackets and other characters in 0% of the samples.
RuleLineStartWithBulletpoint,99.32,9932,68,10000,1% of the samples start with a bullet point.
RuleUniqueWords,100.0,10000,0,10000,0% of the samples have a ratio > 0.1 of unique words.
