rule_applied,score,num_good,num_bad,total,description
RuleLineEndWithEllipsis,98.71,9871,129,10000,Over 30% of sentences in 1% of the samples end with ellipsis (...).
RuleLineEndWithTerminal,83.09,8309,1691,10000,Over 60% of sentences in 83% of the samples end with terminal punctuation (.!?;).
RuleSentenceNumber,1.9,190,9810,10000,"2% of the samples have between 3 and 7,500 sentences."
RuleWordNumber,45.82,4582,5418,10000,"46% of the samples have between 20 and 100,000 words."
RuleAbnormalChar,100.0,10000,0,10000,
RuleAbnormalHtml,100.0,10000,0,10000,
RuleAlphaWords,97.74,9774,226,10000,Over 60% of the words in 98% of the samples have alphabetic characters.
RuleCharNumber,44.4,4440,5560,10000,44% of the samples have more than 100 characters.
RuleColonEnd,100.0,10000,0,10000,0% of the samples finish in a colon (:).
RuleContentNull,100.0,10000,0,10000,0% of the samples are empty.
RuleContentShort,98.35,9835,165,10000,
RuleContentShortMultiLan,45.93,4593,5407,10000,
RuleEnterAndSpace,99.97,9997,3,10000,
RuleEnterMore,100.0,10000,0,10000,
RuleEnterRatioMore,99.97,9997,3,10000,
RuleHtmlEntity,100.0,10000,0,10000,0% of the samples have HTML content.
RuleHtmlTag,100.0,10000,0,10000,
RuleInvisibleChar,100.0,10000,0,10000,
RuleLatexSpecialChar,100.0,10000,0,10000,
RuleLineJavascriptCount,100.0,10000,0,10000,"0% of the samples contain the word ""javascript""."
RuleLoremIpsum,100.0,10000,0,10000,0% of the samples contain Lorem Ipsum text.
RuleMeanWordLength,99.23,9923,77,10000,99% of the samples have a mean word length between 3 and 10 characters.
RuleSpaceMore,100.0,10000,0,10000,
RuleSpecialCharacter,100.0,10000,0,10000,0% of the samples have special characters.
RuleStopWord,74.11,7411,2589,10000,Over 6% of words in 26% of the samples are stop words.
RuleSymbolWordRatio,99.99,9999,1,10000,"In 0% of the samples, the ratio between symbols and words is > 0.4."
RuleOnlyUrl,100.0,10000,0,10000,
RuleDocRepeat,99.99,9999,1,10000,0% of the samples have repeating lines.
RuleCapitalWords,99.19,9919,81,10000,Over 20% of words in 1% of the samples are capitalised.
RuleCurlyBracket,99.99,9999,1,10000,There is a ratio > 0.1 between curly brackets and other characters in 0% of the samples.
RuleLineStartWithBulletpoint,99.68,9968,32,10000,0% of the samples start with a bullet point.
RuleUniqueWords,100.0,10000,0,10000,0% of the samples have a ratio > 0.1 of unique words.
