rule_applied,score,num_good,num_bad,total,description
RuleLineEndWithEllipsis,98.54,9854,146,10000,Over 30% of sentences in 1% of the samples end with ellipsis (...).
RuleLineEndWithTerminal,96.65,9665,335,10000,Over 60% of sentences in 97% of the samples end with terminal punctuation (.!?;).
RuleSentenceNumber,0.36,36,9964,10000,"0% of the samples have between 3 and 7,500 sentences."
RuleWordNumber,1.88,188,9812,10000,"2% of the samples have between 20 and 100,000 words."
RuleAbnormalChar,98.96,9896,104,10000,
RuleAbnormalHtml,100.0,10000,0,10000,
RuleAlphaWords,82.13,8213,1787,10000,Over 60% of the words in 82% of the samples have alphabetic characters.
RuleCharNumber,1.15,115,9885,10000,1% of the samples have more than 100 characters.
RuleColonEnd,100.0,10000,0,10000,0% of the samples finish in a colon (:).
RuleContentNull,100.0,10000,0,10000,0% of the samples are empty.
RuleContentShort,66.84,6684,3316,10000,
RuleContentShortMultiLan,1.98,198,9802,10000,
RuleEnterAndSpace,99.7,9970,30,10000,
RuleEnterMore,100.0,10000,0,10000,
RuleEnterRatioMore,99.7,9970,30,10000,
RuleHtmlEntity,100.0,10000,0,10000,0% of the samples have HTML content.
RuleHtmlTag,100.0,10000,0,10000,
RuleInvisibleChar,98.96,9896,104,10000,
RuleLatexSpecialChar,100.0,10000,0,10000,
RuleLineJavascriptCount,100.0,10000,0,10000,"0% of the samples contain the word ""javascript""."
RuleLoremIpsum,100.0,10000,0,10000,0% of the samples contain Lorem Ipsum text.
RuleMeanWordLength,97.36,9736,264,10000,97% of the samples have a mean word length between 3 and 10 characters.
RuleSpaceMore,100.0,10000,0,10000,
RuleSpecialCharacter,100.0,10000,0,10000,0% of the samples have special characters.
RuleStopWord,22.44,2244,7756,10000,Over 6% of words in 78% of the samples are stop words.
RuleSymbolWordRatio,99.75,9975,25,10000,"In 0% of the samples, the ratio between symbols and words is > 0.4."
RuleOnlyUrl,100.0,10000,0,10000,
RuleDocRepeat,99.99,9999,1,10000,0% of the samples have repeating lines.
RuleCapitalWords,99.05,9905,95,10000,Over 20% of words in 1% of the samples are capitalised.
RuleCurlyBracket,100.0,10000,0,10000,There is a ratio > 0.1 between curly brackets and other characters in 0% of the samples.
RuleLineStartWithBulletpoint,100.0,10000,0,10000,0% of the samples start with a bullet point.
RuleUniqueWords,100.0,10000,0,10000,0% of the samples have a ratio > 0.1 of unique words.
