rule_applied,score,num_good,num_bad,total,description
RuleLineEndWithEllipsis,98.21,9821,179,10000,Over 30% of sentences in 2% of the samples end with ellipsis (...).
RuleLineEndWithTerminal,80.63,8063,1937,10000,Over 60% of sentences in 81% of the samples end with terminal punctuation (.!?;).
RuleSentenceNumber,37.04,3704,6296,10000,"37% of the samples have between 3 and 7,500 sentences."
RuleWordNumber,92.56,9256,744,10000,"93% of the samples have between 20 and 100,000 words."
RuleAbnormalChar,99.9,9990,10,10000,
RuleAbnormalHtml,100.0,10000,0,10000,
RuleAlphaWords,99.58,9958,42,10000,Over 60% of the words in 100% of the samples have alphabetic characters.
RuleCharNumber,92.2,9220,780,10000,92% of the samples have more than 100 characters.
RuleColonEnd,100.0,10000,0,10000,0% of the samples finish in a colon (:).
RuleContentNull,100.0,10000,0,10000,0% of the samples are empty.
RuleContentShort,100.0,10000,0,10000,
RuleContentShortMultiLan,92.53,9253,747,10000,
RuleEnterAndSpace,100.0,10000,0,10000,
RuleEnterMore,100.0,10000,0,10000,
RuleEnterRatioMore,100.0,10000,0,10000,
RuleHtmlEntity,100.0,10000,0,10000,0% of the samples have HTML content.
RuleHtmlTag,100.0,10000,0,10000,
RuleInvisibleChar,99.9,9990,10,10000,
RuleLatexSpecialChar,100.0,10000,0,10000,
RuleLineJavascriptCount,100.0,10000,0,10000,"0% of the samples contain the word ""javascript""."
RuleLoremIpsum,100.0,10000,0,10000,0% of the samples contain Lorem Ipsum text.
RuleMeanWordLength,98.23,9823,177,10000,98% of the samples have a mean word length between 3 and 10 characters.
RuleSpaceMore,100.0,10000,0,10000,
RuleSpecialCharacter,100.0,10000,0,10000,0% of the samples have special characters.
RuleStopWord,90.67,9067,933,10000,Over 6% of words in 9% of the samples are stop words.
RuleSymbolWordRatio,100.0,10000,0,10000,"In 0% of the samples, the ratio between symbols and words is > 0.4."
RuleOnlyUrl,100.0,10000,0,10000,
RuleDocRepeat,99.97,9997,3,10000,0% of the samples have repeating lines.
RuleCapitalWords,99.85,9985,15,10000,Over 20% of words in 0% of the samples are capitalised.
RuleCurlyBracket,99.99,9999,1,10000,There is a ratio > 0.1 between curly brackets and other characters in 0% of the samples.
RuleLineStartWithBulletpoint,99.67,9967,33,10000,0% of the samples start with a bullet point.
RuleUniqueWords,99.96,9996,4,10000,0% of the samples have a ratio > 0.1 of unique words.
