en	ga
Poland	An Pholainn
The programme shall be implemented in accordance with Article 53(1)(a) and (b) of the Financial Regulation applicable to the general budget of the European Communities(	Cuirfear an clár chun feidhme i gcomhréir le hAirteagal 53(1)(a) agus (b) den Rialachán Airgeadais is infheidhme maidir le buiséad ginearálta na gComhphobal Eorpach (
Article 57	Airteagal 57
The Union shall assist Lithuania in managing the transit of persons between the region of Kaliningrad and the other parts of the Russian Federation and shall, notably, bear any additional costs incurred by implementing the specific provisions of the   	Cuideoidh an tAontas leis an Liotuáin idirthuras daoine idir réigiún Kaliningrad agus codanna eile de Chónaidhm na Rúise a bhainistiú agus, go háirithe, iompróidh sé aon chostais bhreise arna dtabhú trí na forálacha speisialta san   
EU	An tAE
16	16
to promote the smooth operation of payment systems.	oibriú rianúil córas íocaíochtaí a chur chun cinn.
Article 9	Airteagal 9
The European Central Bank shall ensure that the tasks conferred upon the European System of Central Banks under Article III-185(2), (3) and (5) of the Constitution are implemented either by itself pursuant to this Statute or through the national central banks pursuant to Article 12(1) and Article 14.3.  	Áiritheoidh an Banc Ceannais Eorpach go ndéanfar na cúraimí atá curtha ar an gCóras Eorpach Banc Ceannais faoi Airteagal III-185(2), (3) agus (5) den Bhunreacht a chur chun feidhme aige féin de bhun an Reachta seo nó trí na bainc cheannais náisiúnta de bhun Airteagail 12(1) agus 14.3.  
Article 38	Airteagal 38
The responsibilities of the General Council are listed in full in Article 46.	Tá freagrachtaí na Comhairle Ginearálta liostaithe ina n-iomláine in Airteagal 46.
If a Member State considers that imports of petroleum products refined in the Netherlands Antilles, made either directly or through another Member State under the system provided for in Article 2, are giving rise to real difficulties on its market and that immediate action is necessary to meet them, it may on its own initiative decide to apply customs duties to such imports, the rate of which may not exceed those of the customs duties applicable to third countries in respect of the same products.  	Má mheasann Ballstát go bhfuil allmhairiú táirgí peitriliam arna scagadh in Aintillí na hÍsiltíre, go díreach nó trasna Ballstáit eile, faoin socrú dá bhforáiltear in Airteagal 2, ag tarraingt deacra iarbhír ar a mhargadh agus gur gá gníomhú láithreach chun freagairt dóibh, féadfaidh sé a chinneadh uaidh féin ar dhleachtanna custaim a chur ar na hallmhairí sin nach mbeidh a rátaí níos mó ná rátaí na ndleachtanna custaim is infheidhme i leith tríú tíortha i gcás na dtáirgí céanna.  
It shall notify its decision to the Commission, which shall within one month adopt a European decision establishing whether the measures taken by the State should be maintained or must be amended or cancelled.  	Cuirfidh sé an cinneadh sin i bhfios don Choimisiún agus laistigh de thréimhse míosa glacfaidh an Coimisiún cinneadh Eorpach lena mbunófar cé acu a bhféadfar cloí leis na bearta a ghlac an Stát nó a ndlífear iad a leasú nó a chealú.
France	An Fhrainc
2 003 725 500	2 003 725 500
