M	J
CC: natural language	CC: natural language
CS: short	CS: short
CS: short	CS: short
CC: natural language	CC: natural language
CS: short	CS: short
CC: natural language	CC: natural language
CC: natural language	X: both correct languages
CS: short	CS: short
CC: natural language	CC: natural language
CS: short	CS: short
CC: natural language	CC: natural language
CC: natural language	CC: natural language
CC: natural language	CC: natural language
CC: natural language	CC: natural language
CS: short	CS: short
CC: natural language	CC: natural language
CC: natural language	CC: natural language
CC: natural language	CC: natural language
CC: natural language	CC: natural language
CC: natural language	X: both correct languages
