M	J
X: both correct languages	X: both correct languages
X: both correct languages	WL: source or target incorrect language
X: both correct languages	CC: natural language
CC: natural language	X: both correct languages
CC: natural language	CC: natural language
WL: source or target incorrect language	WL: source or target incorrect language
X: both correct languages	X: both correct languages
X: both correct languages	CS: short
X: both correct languages	X: both correct languages
WL: source or target incorrect language	WL: source or target incorrect language
X: both correct languages	X: both correct languages
X: both correct languages	X: both correct languages
CC: natural language	CC: natural language
CC: natural language	X: both correct languages
X: both correct languages	X: both correct languages
X: both correct languages	X: both correct languages
WL: source or target incorrect language	WL: source or target incorrect language
WL: source or target incorrect language	WL: source or target incorrect language
X: both correct languages	X: both correct languages
X: both correct languages	X: both correct languages
