M	J
CC: natural language	X: both correct languages
CC: natural language	CC: natural language
CC: natural language	CC: natural language
CC: natural language	CC: natural language
CC: natural language	WL: source or target incorrect language
CC: natural language	X: both correct languages
CC: natural language	CC: natural language
CC: natural language	CC: natural language
CS: short	CS: short
CC: natural language	CC: natural language
CC: natural language	CC: natural language
CC: natural language	CB: boilerplate or low quality language
CS: short	X: both correct languages
CC: natural language	X: both correct languages
CC: natural language	CB: boilerplate or low quality language
CC: natural language	CC: natural language
CC: natural language	CC: natural language
CC: natural language	CC: natural language
WL: source or target incorrect language	WL: source or target incorrect language
CC: natural language	CC: natural language
