HPLT,M,J,ChatGPT,Claude,Copilot,Gemini,Grok,
M,1,0.44,0.19,0.33,0.4,0.41,0.36,0.447142857
J,0.44,1,0.37,0.51,0.27,0.67,0.61,0.552857143
ChatGPT,0.19,0.37,1,0.69,0.53,0.68,0.54,0.571428571
Claude,0.33,0.51,0.69,1,0.4,0.76,0.77,0.637142857
Copilot,0.4,0.27,0.53,0.4,1,0.53,0.41,0.505714286
Gemini,0.41,0.67,0.68,0.76,0.53,1,0.85,0.7
Grok,0.36,0.61,0.54,0.77,0.41,0.85,1,0.648571429
,,,,,,,,
CCMatrix,M,J,ChatGPT,Claude,Copilot,Gemini,Grok,
M,1,1,1,1,0,1,0,0.714285714
J,1,1,1,1,0,1,0,0.714285714
ChatGPT,1,1,1,1,0,1,0,0.714285714
Claude,1,1,1,1,0,1,0,0.714285714
Copilot,0,0,0,0,1,0,0.81,0.258571429
Gemini,1,1,1,1,0,1,0,0.714285714
Grok,0,0,0,0,0.81,0,1,0.258571429
,,,,,,,,
QED,M,J,ChatGPT,Claude,Copilot,Gemini,Grok,
M,1,0.33,-0.08,0.08,0.11,0.38,0.11,0.275714286
J,0.33,1,-0.08,0,0.18,0.22,0.13,0.254285714
ChatGPT,-0.08,-0.08,1,0.09,0.09,0.09,0.12,0.175714286
Claude,0.08,0,0.09,1,0.3,0.39,0.35,0.315714286
Copilot,0.11,0.18,0.09,0.3,1,0.25,0.84,0.395714286
Gemini,0.38,0.22,0.09,0.39,0.25,1,0.27,0.371428571
Grok,0.11,0.13,0.12,0.35,0.84,0.27,1,0.402857143
