M	J
X: both correct languages	X: both correct languages
CC: natural language	CC: natural language
CC: natural language	X: both correct languages
CC: natural language	CC: natural language
CC: natural language	CC: natural language
CC: natural language	CC: natural language
CC: natural language	CC: natural language
CC: natural language	CC: natural language
CC: natural language	CS: short
CC: natural language	CC: natural language
CC: natural language	CC: natural language
CS: short	CS: short
CS: short	CS: short
CC: natural language	CC: natural language
CC: natural language	CC: natural language
CC: natural language	CC: natural language
CS: short	CS: short
CC: natural language	CC: natural language
CC: natural language	CC: natural language
CC: natural language	CC: natural language
