M	J
CC: natural language	CC: natural language
CC: natural language	CC: natural language
X: both correct languages	X: both correct languages
CC: natural language	CC: natural language
X: both correct languages	CS: short
X: both correct languages	CS: short
CC: natural language	CC: natural language
CC: natural language	CC: natural language
CC: natural language	CC: natural language
CB: boilerplate or low quality language	CC: natural language
CC: natural language	CC: natural language
CC: natural language	CC: natural language
CB: boilerplate or low quality language	CB: boilerplate or low quality language
CS: short	CS: short
CC: natural language	CC: natural language
X: both correct languages	CC: natural language
CC: natural language	X: both correct languages
CC: natural language	CC: natural language
CC: natural language	CC: natural language
CC: natural language	X: both correct languages
