en	ga
In addition, he, as well as the President-in-Oce of the Council, signs legal acts adopted under the codecision procedure and the budget of the European Union.	I ré seo an domhandaithe, a mhúsclaíonn idir dhóchas agus fhaitíos, caithmid cur go láidir i gcoinne gach cinneál éadulaingthe agus droichid na tuisceana a thógáil.
2003 The United Nations and its Secretary-General Kofi Annan	2003 Na Náisiúin Aontaithe agus an tArdrúnaí, Kofi Annan
­ Directive 73/150/EEC of 5 June 1973 OJ No L 172, 28 June 1973	­ Treoir 73/150/CEE, 5 Meitheamh 1973 10 Uimh. L 172, 28 Meitheamh 1973
Apollo House Tara Street "Dublin 2 Tel.:01-809 5016 Tel.:01-872 9293	An loslainn, An lorrua, agu; Liechtenstein), ba chóir dui i dteagmháil le :
This brochure illustrates what the Union is doing in your region, not just in terms of figures, but with actual examples too.	Léirionn an bróisiúr seo na rudaí ata á dhéanamh ag an Aontas Eorpach i do cheantarsa, ni amháin i bhfigiúirí, ach le samplaí freisin.
Three areas were selected for funding in Ireland during the period 1996-1999:	Roghnaíodh tri ceantar in Éirinn chun maoiniú a fháil i rith na tréimhse ó 1996 - 1999.
1.Without prejudice to obligations undertaken by them withinthe framework of other international organisations, Member Statesshall progressively harmonise the systems whereby they grant aidfor exports to third countries, to the extent necessary to ensure thatcompetition between undertakings of the Community is not distorted.	1.Gan dochar d’oibleagáidí a ghabh na Ballstáit orthu féin faoichuimsiú eagraíochtaí idirnáisiúnta eile, déanfaidh siad na córais faoina dtugtar cúnamh don onnmhairiú go tríú tíortha a chomhchuibhiú go comhleanúnach oiread agus is gá chun a áirithiúnach saobhfar an iomaíocht idir gnóthais an Chomhphobail.
LIST referred to in Article 32 of the Treaty	LIOSTA dá dtagraítear in Airteagal 32 den Chonradh
Where the Court of Justice and the Court of First Instance areseisedofcasesinwhichthesamereliefissought,thesameissueofinterpretation is raised or the validity of the same act is called inquestion, the Court of First Instance may, after hearing the parties,stay the proceedings before it until such time as the Court of Jus- tice shall have delivered judgment.	Má thugtar cásanna os comhair na Cúirte Breithiúnais agus na Cúirte Céadchéime araon ina bhfuil an faoiseamh céanna á éileamh,ina dtógtar an tsaincheist chéanna léirithe nó ina gcaitear amhras arbharántúlacht an achta chéanna, féadfaidh an Chúirt Chéadchéime,tar éis di na páirtithe a éisteacht, bac a chur ar na himeachtaí os a comhair go dtí go mbeidh breithiúnas tugtha ag an gCúirt Bhreith-CORRIGENDUMiúnais.
DECLARATION (No 8) on Article 31 (ex Article K.3)(e) of the Treaty on European Union	DEARBHÚ (Uimh. 8) maidir le pointe(e) d’Airteagal31 (SeanAirteagal K.3) den Chonradh ar an Aontas Eorpach
9.Declaration on Part Three, Title XIX, of the Treaty establishingthe European Community	9.Dearbhú maidir le Cuid a Trí, Teideal XIX den Chonradh agbunú an Chomhphobail Eorpaigh
KING OF THE BELGIANS:	A SHOILSE RÍ NA mBEILGEACH:
Article 110Article 111 (repealed)Article 112Article 113Article 114 (repealed)Article 115	Airteagal 110Airteagal 111 (aisghairthe)Airteagal 112Airteagal 113Airteagal 114 (aisghairthe)Airteagal 115
As to products in group (c), the High Authority shall, upon taking up its duties, enter into a series of studies to determine appropriate arrangements for the application of the Treaty to them, taking into account the special features of their production and of trade in them; as and when the findings are forthcoming, and within three years of the establishment of the common market at the latest, the arrangements suggested for each of the products in question shall be submitted by the High Authority to the Coun cil, which shall pronounce upon them in accordance with Article 81.	I gcás na dtáirgí a bhaineann le grupa c), rachaidh an tArdÚdarás i mbun staidéir, ar dhul i seilbh oifige dó, d'fhonn modhanna iomchuí a aimsiú leis an gConradh a chur chun feidhme ar na táirgí éagsúla ag féachaint do na dalai áirithe a bhaineann lena dtáirgeadh agus lena dtrádáil ; de réir mar a chriochnófar an staidéar sin agus, ar a dhéanaí, laistigh de thrí bliana ó dháta an chómhargaidh a bhunú, cuirfidh an tArdÚdarás na modhanna a roghnaíodh do gach ceann de na táirgi faoi bhráid na Comhairle. agus tabharfaidh an Chomhairle a breith orthu de réir Airteagal 81.
Within the ceiling defined above, it shall calculate the amount to be actually levied in such a way that the Government subsidies to be actually paid shall be at least equal to that amount;	Laistigh den uasteorainn ala sainithe thuas, déanfaidh sé méid an tobhaigh iarbhir a riomh ar dhóigh go mbeidh na fóirdheontais Rialtais a íocfar iarbhír cóímhéid leis an tobhach sin, ar an gcuid is lú de.
These proposals shall take account of the interdependence of the agricultural matters mentioned in this Title.	Sna tograí sin cuirfear san áireamh idirthuilleamaiocht na gcúrsaí talmhaíochta atá luaite sa Teideal seo.
"The Court of Justice shall consist of nine Judges."	"Naonúr Breitheamh a bheidh ar an gCúirt Bhreithiúnais."
