en	ga
It is not well known to me.	Ní eol dom go maith é.
Gooey?	An bhfuil sé juicy?
Us, now!	Is é an freagra: an dorchadas.
There is only one King under the Mountain, and I am he Thorin!	Níl ach Rí amháin faoin Sliabh, agus mise é   Thorin!
Don't get lost.	Ná bí caillte.
Who's there?	Cé atá ann?
We were supposed to meet him here, but I've had no word, no message.	Bhí muid ceaptha bualadh leis anseo, ach ní raibh focal, teachtaireacht ar bith agam.
Not a tree, a tree herder.	Ní crann, tréad crainn.
I am not altogether on anybody's side... because nobody is altogether on my side.	Nílim ar fad ar thaobh aon duine ... mar níl aon duine ar mo thaobh go hiomlán.
He's a Baggins, my precious.	Is Baggins é, mo luachmhar.
Hail Samwise the Strong!	Hail Samwise the Strong!
Ash and smoke blown away on the wind.	Séideadh fuinseog agus deatach ar an ghaoth.
Oh, dear.	Ó, a stór.
I didn't want to say anything but there's a black rider, a Nazgul, over us.	Ní raibh mé ag iarraidh tada a rá   ach tá marcach dubh, Nazgul, os ár gcomhair.
I think we can make it to the next boulder, master.	Sílim gur féidir linn é a dhéanamh go dtí an chéad bholláin eile, a mháistir.
Two deserters?	Dhá thréigtheach?
She's all right, isn't she?	Tá sí ceart go leor, nach bhfuil?
Additional Maths, Physics and Biology.	Matamaitic, Fisic agus Bitheolaíocht Bhreise.
-Of course, you can't.	-Mar ndóigh, ní féidir leat.
-You need a diversion.	-Tá atreorú uait.
Now, I've got my work to do.	Anois, tá mo chuid oibre le déanamh agam.
The Forest of Fangorn lies on our doorstep.	Tá Foraois Fangorn ar leac an dorais againn.
That is a lie.	Is bréag é sin.
Not even his own kin.	Ní fiú a ghaolta féin é.
Do not look for welcome here.	Ná bí ag lorg fáilte anseo.
Yes, the stairs.	Sea, an staighre.
We're going there and back again... just like Mr. Bilbo.	Táimid ag dul ann agus ar ais arís ... díreach cosúil leis an Uasal Bilbo.
I don't want to keep it.	Níl mé ag iarraidh é a choinneáil.
Very good!	An-mhaith!
Either something very odd is going on down there, or the rats have discovered the delights of the D'Oyly Carte.	Tá rud éigin an-aisteach ag dul ar aghaidh síos ansin, nó gur aimsigh na francaigh an taitneamh a bhain an D'Oyly Carte as.
The lava is for ones who really push it.	Tá an laibhe ann dóibh siúd a bhrúnn i ndáiríre é.
- JOE: Get back, you freak! - (SHRIEKING)	Faigh ar ais, freak tú!
Why continue the punishments after the town's been evacuated?	Cén fáth leanúint leis na pionóis tar éis aslonnú an bhaile?
Is a black hole.	An bhfuil poll dubh.
She doesn't know. We can get her in for the whole story.	Is féidir linn í a fháil isteach don scéal iomlán.
- Looks like we're moving. - MAN:	- Is cosúil go bhfuilimid ag bogadh.
What do they want to get in here for?	Cad chuige a bhfuil siad ag iarraidh dul isteach anseo?
An offer I was foolish enough to accept, as those who punish us are always sending us into danger.	Tairiscint a raibh mé amaideach go leor glacadh leis, mar bíonn daoine a chuireann pionós orainn i gcónaí i mbaol.
Don't want to talk to the cops?	Ná bí ag iarraidh labhairt leis na próistí?
In precious gems hewn... from rock and in great seams of gold... running like rivers through stone.	I GEMS lómhara lomadh ... ó charraig agus i seams mór óir ... ag rith mar aibhneacha trí chloch.
And that is where they found it.	Agus is é sin an áit a bhfuair siad é.
Run for your lives!	Rith ar feadh do shaol!
Well, you know my name, although you don't remember I belong to it.	Bhuel, tá a fhios agat m'ainm, cé nach cuimhin leat gur leis mé.
There's no mark on that door.	Níl aon mharc ar an doras sin.
And you ask me to seek out the very people who betrayed my grandfather.	Agus iarrann tú orm na daoine an-mhaith a bhrath mo sheanathair a lorg.
What a load of rubbish.	Cad ualach de bhruscar.
But the old fortress is abandoned.	Ach tá an sean-dún tréigthe.
You've been busy of late, my friend.	Bhí tú gnóthach le déanaí, a chara.
Down in the deep.	Síos go domhain.
For which we would pay double.	D'íocfaimis faoi dhó.
- And may your return bring good fortune...	Agus b'fhéidir go dtabharfaidh dea-fhortún do thuairisceán ...
It's undoubtedly a trap.	Gaiste é gan amhras.
Come, we must leave.	Tar, caithfimid imeacht.
Let all those who doubted us... rue this day!	Lig dóibh siúd go léir a chuir amhras orainn ... rue an lá seo!
Come, now... don't be shy.	Teacht anois... ná bí cúthail.
I wish.	Is mian liom.
They've woken the dragon!	Tá an dragan dúisithe acu!
Please!	Le do thoil!
It's all right, darling.	Tá sé ceart go leor, a stór.
I know it.	Tá a fhios agam é.
There's hundreds of them.	Tá na céadta acu ann.
And in return, you brought upon them only ruin and death.	Agus mar chúiteamh, níor thug tú orthu ach fothrach agus bás.
Right now!	Anois!
- You were always my king.	- Bhí ​​tú i gcónaí mar rí agam.
- Arm yourselves.	- Lámh díbh féin.
Cut the tracers.	Gearr na lorgairí.
I'll go.	Rachaidh mé.
Ha, ha!	Ha, ha!
- Of course YOU like it.	- Ar ndóigh is maith leat é.
The singer?	An t-amhránaí?
You've heard of me, haven't you?	Chuala tú uaim, nár chuala?
And time... time... never forgets.	Agus am ... am ... riamh dearmad.
Darts is something worth practising for.	Is fiú cleachtadh a dhéanamh ar dairteanna.
- Me neither.	- Mise ach an oiread.
- Matteusz?	- Matteusz?
Ask me a question.	Cuir ceist orm.
You're really making me want to pick up that rock.	Tá tú ag déanamh go mór orm an charraig sin a phiocadh suas.
- You what?	- Tú cad é?
No, our afterlife myth, that died out, like, 1,000 years ago!	Níl, ár miotas tar éis an tsaoil, a d'éag amach, cosúil le, 1,000 bliain ó shin!
I shout my toughness and my danger, but I'm shouting it to children.	Cuirim mo dheacracht agus mo chontúirt, ach bím ag béicíl ar leanaí.
I had to come home or there was a chance I would never get back.	Bhí orm teacht abhaile nó bhí seans ann nach bhfaighinn ar ais choíche.
Uh... no... no.	Uh ... níl ... níl.
- I said quiet.	- Dúirt mé ciúin.
Daleks always win.	Bíonn an bua ag Daleks i gcónaí.
- Don't listen to him.	Ná héist leis sin.
I'm ready!	Tá mé réidh!
Two people can't have the same dream, let alone be in that same dream at the same time.	Ní féidir le beirt an bhrionglóid chéanna a bheith acu, gan trácht orthu beith sa taibhreamh céanna ag an am céanna.
- Cotton candy!	-Flas candaí!
Well, let's have it.	Bhuel, ar aghaidh libh.
Don't you play coy with me, cephalopod.	Caith uait an bhréagchúthaileacht, a cheifileapod!
Yeah!	Ó sea!
Look out below!	Seachain thíos!
It's been a while since I've enjoyed such toe-tapping entertainment.	Tá tamall ann ó bhain mé sásamh as siamsaíocht chomh bríomhar.
Thank you, doctor.	Go raibh maith agat, a dhochtúir.
- Have you heard about the new diet?	- Ar chuala tú faoin aiste bia nua?
I've been thinking about you, Vilgot.	Tá mé ag smaoineamh fút, a Vilgot.
If they don't want to take the sugar solution, you can dilute it with a little lemon juice.	Mura bhfuil siad ag iarraidh an tuaslagán siúcra a ghlacadh, is féidir leat é a chaolú le beagán sú líomóide.
The poor dental health is escalating, and we have the opportunity to solve this.	Tá an drochshláinte fiaclóireachta ag dul i méid, agus tá deis againn é sin a réiteach.
In a place where she can take care of her roses as much as she wants.	In áit inar féidir léi aire a thabhairt dá rósanna an oiread agus is mian léi.
None of us were really prepared for how this experiment would take shape and develop.	Ní raibh aon duine againn fíor-ullmhaithe le haghaidh  conas a chruthódh agus a fhorbródh an turgnamh seo.
